sample	HiFi	fq1	fq2	Ref	ragtag
FCM137	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM137.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM137_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM137_R2.fastq.gz	/data1/u0176926/Refs/FCM137_K-lactis/GCF_000002515.2_ASM251v1_genomic.fna.gz	Y
FCM148	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM148.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM148_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM148_R2.fastq.gz	/data1/u0176926/Refs/FCM148_P-pastoris/GCA_001708105.1_ASM170810v1_genomic.fna.gz	Y
FIL002	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL02.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL002_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL002_R2.fastq.gz	/data1/u0176926/Refs/FIL03_A-niger/GCF_000002855.4_ASM285v2_genomic.fna.gz	N
FIL003	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL03.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL003_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL003_R2.fastq.gz	/data1/u0176926/Refs/FIL03_A-niger/GCF_000002855.4_ASM285v2_genomic.fna.gz	Y
FIL004	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL04.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL004_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL004_R2.fastq.gz	/data1/u0176926/Refs/FIL03_A-niger/GCF_000002855.4_ASM285v2_genomic.fna.gz	Y
FIL005	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL05.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL005_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL005_R2.fastq.gz	/data1/u0176926/Refs/FIL03_A-niger/GCF_000002855.4_ASM285v2_genomic.fna.gz	Y
FIL006	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL06.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL006_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL006_R2.fastq.gz	/data1/u0176926/Refs/FIL03_A-niger/GCF_000002855.4_ASM285v2_genomic.fna.gz	Y
FIL009	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL09.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL009_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL009_R2.fastq.gz	/data1/u0176926/Refs/FIL09_F-solani/GCF_023522795.1_NDSU_Fsol_1.0_genomic.fna.gz	N
FIL010	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL10.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL010_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL010_R2.fastq.gz	/data1/u0176926/Refs/FIL10_N-crassa/GCF_000182925.2_NC12_genomic.fna.gz	Y
FIL011	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL11.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL011_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL011_R2.fastq.gz	/data1/u0176926/Refs/FIL10_N-crassa/GCF_000182925.2_NC12_genomic.fna.gz	Y
FIL012	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL12.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL012_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL012_R2.fastq.gz	/data1/u0176926/Refs/FIL10_N-crassa/GCF_000182925.2_NC12_genomic.fna.gz	Y
FIL013	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL13.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL013_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL013_R2.fastq.gz	/data1/u0176926/Refs/FIL13_N-discreta/GCA_009805215.1_ASM980521v1_genomic.fna.gz	N
FIL014	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL14.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL014_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL014_R2.fastq.gz	/data1/u0176926/Refs/FIL14_N-hispaniola/GCF_033458365.1_Neuhi1_genomic.fna.gz	N
FIL015	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL15.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL015_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL015_R2.fastq.gz	/data1/u0176926/Refs/FIL15_P-chrysogenum/GCF_028827035.1_ASM2882703v1_genomic.fna.gz	N
FIL016	/data3/u0176926/PacBio_Oct2025/clean_fastq/FIL16.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL016_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL016_R2.fastq.gz	/data1/u0176926/Refs/FIL16_P-griseofulvum/GCF_001561935.1_ASM156193v1_genomic.fna.gz	N
